"income_classification_world_bank_2017","national_poverty_lines_jolliffe_and_prydz_2016"
"1",5.6372
"3",3.8
"3",3.4172
"4",11.3795
"2",2.17
"4",8.2478
"3",4.9698
"2",3.87
"4",28.14
"4",27.02
"3",5.19
"4",8.4781
"4",10.9187
"2",2.186
"4",5.3536
"3",7.59
"4",26.85
"3",4.8648
"1",1.44
"2",7.63
"3",9.79
"3",1.97
"3",3.05
"4",11.4863
"3",7.95
"1",1.64
"1",1.54
"2",2.35
"4",23.48
"2",4.2118
"1",1.72
"1",2.24
"4",7.17
"3",1.78
"3",5.42
"1",3.89
"2",2.75
"3",7.04
"2",2.41
"3",9.62
"3",4.9603
"4",18.657
"1",1.4
"4",26.44
"2",2.9328
"3",6.66
"3",4.68
"2",3.3159
"2",5.42
"3",9.6964
"4",11.07
"1",1.8
"3",4.49
"4",26.06
"4",24.69
"3",3.63
"1",2.45
"2",1.89
"4",26.39
"2",2.23
"4",12.85
"2",5.51
"1",2.53
"1",2.01
"3",3.7059
"1",2.15
"2",6.43
"4",9.59
"4",22.7
"2",1.91
"2",1.85
"3",5.0173
"3",3.4419
"4",20.33
"4",13.76
"4",20.72
"3",4.07
"4",20.2546
"2",4.97190000000001
"3",4.9
"2",2.39
"4",11.5091
"2",3.88
"4",8.26
"3",8.84830000000001
"2",1.76
"1",1.75
"3",5.749
"4",11.3795
"4",9.16
"4",32.39
"1",1.62
"1",1.27
"3",3.38
"3",3.7109
"1",1.82
"4",20.0751
"2",3.7
"3",4.8623
"3",8.02
"2",4.86
"4",11.3795
"3",6.06
"2",2.55
"1",1.45
"2",2.4859
"3",2.14
"1",2.2
"4",26.31
"4",11.5632
"2",4.49
"1",1.86
"2",1.65
"4",35.12
"4",11.4813
"2",2.05
"3",6.96
"2",1.92
"3",6.32
"3",5.52
"2",2.44
"4",8
"4",12.81
"4",11.5539
"3",5.24
"3",8.3
"1",1.46
"4",11.3795
"2",2.73
"4",10.9708
"1",2.21
"3",5.42
"1",1.91
"4",11.6102
"4",15.69
"4",19.37
"1",5.1856
"3",5.62
"4",19.7773
"1",2.0138
"4",18.63
"2",2.6
"2",3.5
"3",4.9295
"4",29.09
"4",31.51
"2",3.7654
"2",4.46
"1",1.44
"3",5.43
"1",2.1
"4",5.6546
"2",3.97
"3",2.82
"1",1.46
"2",5.94
"4",11.4935
"4",21.29
"4",21.7
"4",6.92
"2",1.8748
"3",6.28
"2",3.35
"2",2.3022
"2",1.83
"1",2.708
"4",12.98
